item_id,description,item_class,retail_1,last_unit_cost,category
%4095308020125758=20,,Non-stock item,0.0,0.0,other
1004R,4x6 Jerith style 100 5/8 pkt,Non-stock item,159.26,86.0,aluminum
10057R,54X6 Jerith style 100 5/8 pkt,Non-stock item,115.28,62.25,aluminum
1005R,5x6 Jerith style 100 5/8 pkt,Non-stock item,215.33,116.28,aluminum
1006R,6x6 Jerith style 100 5/8 pkt,Non-stock item,243.7,131.6,aluminum
1014R,4x6 Jerith style 101 5/8 pkt,Non-stock item,159.26,86.0,aluminum
10157R,54X6 Jerith style 101 5/8 pkt,Non-stock item,115.28,62.25,aluminum
1015R,5x6 Jerith style 101 5/8 pkt,Non-stock item,215.33,116.28,aluminum
1016R,6x6 Jerith style 101 5/8 pkt,Non-stock item,243.7,131.6,aluminum
104SS,S.S. GRAVITY LATCH nw38210ssb,Non-stock item,32.15,21.22,gate
1053,2 x 3-1/2 WEDGE,Non-stock item,3.17,1.33,other
1054,T RAIL WEDGE,Non-stock item,3.17,1.33,other
1096,4 x 4 DECO KNUCKLE,Non-stock item,5.22,2.61,other
1098,5 x 5 DECO KNUCKLE #1098,Non-stock item,11.74,5.87,other
10CCA,ACQ POST 4 x 4 x 10'  TREATED,Non-stock item,38.76,19.38,post
10CCAF,ACQ POST 4 x 4 x 10'  FLAT GOT,Non-stock item,56.0,28.0,post
10CCAG,ACQ POST 4 x 4 x 10'  GOTHIC T,Non-stock item,56.0,28.0,post
10CCAH,ACQ POST 4 x 4 x 10'  HEX TOP,Non-stock item,56.0,28.0,post
10CCAP,ACQ POST 4 x 4 x 10'  POINTED,Non-stock item,56.0,28.0,post
10COM,10D COMMON NAIL,Non-stock item,3.9,1.17,other
10CR,10' CEDAR RAIL,Non-stock item,50.07,22.53,wood
10GAZ,10' GAZEBO KIT,Non-stock item,3127.27,1720.0,other
10SO,10 in SILVER STRAP ONLY PR.,Non-stock item,14.5,5.8,other
1100,DECORATIVE TRANSITION,Non-stock item,10.48,5.24,other
1111,"8"""" COLUMN ADP for 2 x 3-1/2 R",Non-stock item,5.36,2.25,other
1112,T RAIL ROUND POST CONNECTOR,Non-stock item,5.36,2.25,post
1114R,4x6 Jerith style 101 5/8 pkt,Non-stock item,159.26,86.0,aluminum
11157R,54X6 Jerith style 111 5/8 pkt,Non-stock item,115.28,62.25,aluminum
1115R,5x6 Jerith style 111 5/8 pkt,Non-stock item,215.33,116.28,aluminum
1116R,6x6 Jerith style 111 5/8 pkt,Non-stock item,243.7,131.6,aluminum
1117,4 in SEAMLESS DOME CAP,Non-stock item,15.73,2.36,other
1119,5 in SEAMLESS DOME CAP,Non-stock item,22.2,3.33,other
1156,4 in TWO PC. POST SKIRT,Non-stock item,5.38,2.15,post
1157,5 in TWO PC. POST SKIRT,Non-stock item,5.25,2.1,post
1181W,Hole Plug strip of 12 pcs for,Non-stock item,4.27,0.47,other
1186-36,36 IN FLOWER BOX,Non-stock item,191.7,95.85,other
1186-48,48 IN FLOWER BOX,Non-stock item,226.2,113.1,other
1186-60,60 IN FLOWER BOX,Non-stock item,265.36,132.68,other
11LR,11' CYPRESS  RAIL,Non-stock item,33.91,15.6,other
1215-20,20 x 20 x 20 PLANTER BOX,Non-stock item,452.2,226.1,other
1215-36,20 x 20 x 36 PLANTER BOX,Non-stock item,549.98,274.99,other
1215-48,20 x 20 x 48 PLANTER BOX,Non-stock item,668.54,334.27,other
1254,2 PIECE FOOT BLOCK KIT,Non-stock item,5.37,1.45,other
1255,3 PIECE FOOT BLOCK KIT,Non-stock item,5.44,1.47,other
12CCA,ACQ POST 4 x 4 x 12'  TREATED,Non-stock item,38.02,19.01,post
12TH,12 in BLACK ORNAMENTAL TEE HIN,Non-stock item,51.4,20.56,other
1305A,8 in round column adapter stra,Non-stock item,7.74,3.25,other
1305B,8 in round column adapter stai,Non-stock item,6.5,2.73,other
1321,t rail straight bracket kit w/,Non-stock item,10.08,5.04,other
1321A,t rail straight bracket kit w/,Non-stock item,29.24,14.62,other
1357,t rail stair brkt kit w/caplug,Non-stock item,11.8,5.9,other
1358,2x3-1/2 stair brkt kit w/caplu,Non-stock item,11.8,5.9,other
1359,2x3-1/2 straight bracket kit w,Non-stock item,9.7,4.85,other
1390,Large Ball Top Pvc,Non-stock item,42.67,19.2,vinyl_pvc
1435,2x3-1/2 ANGLE WIZ stair brkt 4,Non-stock item,34.55,16.24,other
